model_name,model_type,Affective Aggression_f1,Affective Aggression_precision,Affective Aggression_recall,Derisive Trolling_f1,Derisive Trolling_precision,Derisive Trolling_recall,Dominance & Subjugation_f1,Dominance & Subjugation_precision,Dominance & Subjugation_recall,Ideological Expression_f1,Ideological Expression_precision,Ideological Expression_recall,Performative Reinforcement_f1,Performative Reinforcement_precision,Performative Reinforcement_recall,Strategic Incitement_f1,Strategic Incitement_precision,Strategic Incitement_recall,Threat & Intimidation_f1,Threat & Intimidation_precision,Threat & Intimidation_recall
BERT-base,Encoder,0.9257142857142857,0.9529411764705882,0.9,0.9150326797385621,0.8974358974358975,0.9333333333333333,0.875,0.900990099009901,0.8504672897196262,0.8368794326241135,0.8613138686131386,0.8137931034482758,0.9066666666666667,0.9714285714285714,0.85,0.8488745980707396,0.8407643312101911,0.8571428571428571,0.9349112426035503,0.9294117647058824,0.9404761904761905
HateBERT,Encoder (Domain),0.9371428571428572,0.9647058823529412,0.9111111111111111,0.913907284768212,0.9078947368421053,0.92,0.8529411764705883,0.8969072164948454,0.8130841121495327,0.8310810810810811,0.8145695364238411,0.8482758620689655,0.8979591836734693,0.9850746268656716,0.825,0.8250825082508252,0.8389261744966443,0.8116883116883117,0.9090909090909091,0.9259259259259259,0.8928571428571429
RoBERTa-base,Encoder,0.9673913043478262,0.9468085106382979,0.9888888888888889,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8695652173913043,0.9,0.8411214953271028,0.8611111111111112,0.8671328671328671,0.8551724137931035,0.9139072847682119,0.971830985915493,0.8625,0.8316831683168316,0.8456375838926175,0.8181818181818182,0.9277108433734941,0.9390243902439024,0.9166666666666666
Twitter-RoBERTa-Hate,Encoder (Domain),0.9497206703910613,0.9550561797752809,0.9444444444444444,0.8819875776397516,0.8255813953488372,0.9466666666666667,0.8476190476190476,0.8640776699029126,0.8317757009345794,0.8108108108108109,0.9210526315789473,0.7241379310344828,0.8918918918918919,0.9705882352941176,0.825,0.84375,0.8132530120481928,0.8766233766233766,0.9349112426035503,0.9294117647058824,0.9404761904761905
DistilRoBERTa,Encoder (Light),0.9545454545454545,0.9767441860465116,0.9333333333333333,0.8930817610062893,0.8452380952380952,0.9466666666666667,0.863849765258216,0.8679245283018868,0.8598130841121495,0.8057553956834532,0.8421052631578947,0.7724137931034483,0.9290322580645162,0.96,0.9,0.8469055374592832,0.8496732026143791,0.8441558441558441,0.9017341040462428,0.8764044943820225,0.9285714285714286
DistilBERT,Encoder (Light),0.9364161849710982,0.9759036144578314,0.9,0.9006622516556291,0.8947368421052632,0.9066666666666666,0.8773584905660377,0.8857142857142857,0.8691588785046729,0.8442906574394463,0.8472222222222222,0.8413793103448276,0.8979591836734693,0.9850746268656716,0.825,0.8258064516129032,0.8205128205128205,0.8311688311688312,0.9302325581395349,0.9090909090909091,0.9523809523809523
DeBERTa-v3-small,Advanced Encoder,0.934065934065934,0.9239130434782609,0.9444444444444444,0.92,0.92,0.92,0.8558139534883722,0.8518518518518519,0.8598130841121495,0.8413793103448276,0.8413793103448276,0.8413793103448276,0.881578947368421,0.9305555555555556,0.8375,0.8338762214983714,0.8366013071895425,0.8311688311688312,0.8928571428571429,0.8928571428571429,0.8928571428571429
XLM-RoBERTa-base,Advanced Encoder,0.9438202247191012,0.9545454545454546,0.9333333333333333,0.9166666666666666,0.9565217391304348,0.88,0.8356807511737089,0.839622641509434,0.8317757009345794,0.8152866242038217,0.757396449704142,0.8827586206896552,0.8843537414965987,0.9701492537313433,0.8125,0.8066666666666666,0.8287671232876712,0.7857142857142857,0.9,0.9473684210526315,0.8571428571428571
ToxicBERT,Advanced Encoder (Domain),0.9302325581395349,0.975609756097561,0.8888888888888888,0.8903225806451613,0.8625,0.92,0.8584905660377359,0.8666666666666667,0.8504672897196262,0.8222996515679442,0.8309859154929577,0.8137931034482758,0.9078947368421054,0.9583333333333334,0.8625,0.8506493506493505,0.8506493506493507,0.8506493506493507,0.9047619047619048,0.9047619047619048,0.9047619047619048
ELECTRA-small,Advanced Encoder,0.8735632183908046,0.9047619047619048,0.8444444444444444,0.9103448275862068,0.9428571428571428,0.88,0.8019323671497584,0.83,0.7757009345794392,0.8111888111888113,0.8226950354609929,0.8,0.8082191780821918,0.8939393939393939,0.7375,0.795774647887324,0.8692307692307693,0.7337662337662337,0.8795180722891567,0.8902439024390244,0.8690476190476191
ELECTRA-base,Advanced Encoder,0.9425287356321839,0.9761904761904762,0.9111111111111111,0.8917197452229298,0.8536585365853658,0.9333333333333333,0.8465116279069766,0.8425925925925926,0.8504672897196262,0.8472222222222222,0.8531468531468531,0.8413793103448276,0.9200000000000002,0.9857142857142858,0.8625,0.8645161290322582,0.8589743589743589,0.8701298701298701,0.9397590361445782,0.9512195121951219,0.9285714285714286
ConvBERT-base,Advanced Encoder,0.9152542372881356,0.9310344827586207,0.9,0.8974358974358974,0.8641975308641975,0.9333333333333333,0.8708133971291867,0.8921568627450981,0.8504672897196262,0.8402777777777778,0.8461538461538461,0.8344827586206897,0.888888888888889,0.9315068493150684,0.85,0.844884488448845,0.8590604026845637,0.8311688311688312,0.903954802259887,0.8602150537634409,0.9523809523809523
ALBERT-base-v2,Advanced Encoder,0.9142857142857143,0.9411764705882353,0.8888888888888888,0.8974358974358974,0.8641975308641975,0.9333333333333333,0.8454545454545455,0.8230088495575221,0.8691588785046729,0.8280701754385965,0.8428571428571429,0.8137931034482758,0.8767123287671234,0.9696969696969697,0.8,0.8311688311688312,0.8311688311688312,0.8311688311688312,0.9047619047619048,0.9047619047619048,0.9047619047619048
BART-base,Encoder-Decoder,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9466666666666667,0.9466666666666667,0.9466666666666667,0.8490566037735849,0.8571428571428571,0.8411214953271028,0.8571428571428571,0.8661971830985915,0.8482758620689655,0.8904109589041096,0.9848484848484849,0.8125,0.8516129032258064,0.8461538461538461,0.8571428571428571,0.923076923076923,0.9176470588235294,0.9285714285714286
DistilBART-cnn,Encoder-Decoder (Light),0.9297297297297298,0.9052631578947369,0.9555555555555556,0.9142857142857143,0.9846153846153847,0.8533333333333334,0.8597285067873303,0.8333333333333334,0.8878504672897196,0.8402777777777778,0.8461538461538461,0.8344827586206897,0.8904109589041096,0.9848484848484849,0.8125,0.847682119205298,0.8648648648648649,0.8311688311688312,0.9080459770114943,0.8777777777777778,0.9404761904761905
